class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
pos,702686,0,,0,0,0,0,0,0,137594,7456572,26268766,8718708,171354,198,23194346,24720,0,0,0,0,32937564,24134470,11503770,7871908,0,0,0,0,0,0,0,0,0,0,0,375862,25508512,16727074,141744,0,29140,15374,29406,61348,9970962,32636278,10652,30,2,0,16979038,6025928,3662124,2580792,2137762,2384294,6920746,2062322,186,0,44448912,1496,10118,15406,5062,23194346,940282,4729044,6690208,371560,306460,229560,253660,702685.69,44448912,44448912,43645742,298745,4793002,5480,804540,42753192,1209600,0,,,,37417552.32,0.0,5285237.76,0,0,0,0,28,1848390,15963314,21183412,3432066,263950,60062,1970,,0,44448912,40632,9258,3333762,2181942,9293990,26773082,1075234,45292,0,0,,,,,,,,,,37288,1954,0,0,0,2,0,0,0,0,672872,434546,119204,0,0,1647112,303530,25158660,6213432,0,0,0,0,552954080,17305.04,18918,5541804,5990102,4484568,2160246,4570030,5760094,9180736,4720256,345292,64,0,0
neg,6718,0,,0,0,0,0,0,0,10386,185062,132434,62630,0,0,163564,0,0,0,0,0,386870,364346,41574,17298,0,0,0,0,0,0,0,586,5016,6192,10954,15530,123322,79394,149518,0,186,36,84,76,1508,388620,2,0,0,0,130230,187848,50232,13756,5052,2410,926,58,0,0,428500,242,16,290,0,163564,3804,24820,16682,,,,41060,6718.9,428500,428500,436318,1100,76138,42568,427720,390512,1209600,0,,,,344363.52,0,45814.08,0,38,0,0,974,112778,161256,100702,13832,882,88,0,,0,428500,346,64,162,52818,19532,266640,48686,2264,0,0,,,,,,,,,,404,42,0,0,0,0,0,0,0,0,1546,0,0,0,0,0,0,0,0,0,0,0,0,5718930,125.32,144,48798,39294,23328,15212,55002,154402,40640,11756,2080,0,0,0
neg,64498,894,806,0,0,0,0,0,0,32142,1216456,2659016,895008,44560,4036,2139144,3872,0,0,0,0,4069466,3303172,1117544,654020,0,0,3588,0,3086,398,0,0,0,0,0,37724,2644934,1997432,171128,0,4130,1182,2088,359820,3592158,886392,5448,0,0,0,1210100,1192948,324550,312026,315830,343856,504860,635700,11348,0,5188064,100,74,674,44,2139144,53668,465898,646116,262580,277560,234100,52680,64498.01,5188064,5188064,5097266,38184,720,19824,337420,4851218,1209600,137742,6,138,0,4050125.76,0.0,796464.0,0,0,0,0,1214,313730,1629686,2344574,520156,34070,7104,684,2,8,5188064,9274,1120,158306,280188,347248,3169188,844464,41274,156,0,972,1348,3960780,47658,0,196,0,38,4118932,3864,396,0,0,0,0,0,0,0,0,36218,45992,22278,0,0,74052,11480,14873100,1518998,4981176,750,0,0,34839500,2279.72,2428,821974,1012156,816138,371692,812996,568884,252538,119312,75528,0,0,0
neg,360,52,50,0,0,0,0,0,0,78,0,24712,3868,0,0,10132,0,0,0,0,0,30420,26236,6882,2254,0,0,0,0,82,24,0,0,0,0,0,0,28658,0,0,0,76,32,46,96,13606,14802,0,0,0,0,16646,8532,2630,714,86,28,16,6,0,0,37316,0,50,20,0,10132,404,2966,3892,,,,6680,359.59,37316,37316,38638,87,0,3596,37120,28658,1209600,1122,2,2,0,21700.8,0.0,6890.88,0,0,0,0,0,0,10278,17622,714,44,0,0,8,18,37316,138,26,262,2254,938,5422,18374,1210,34,0,78,116,22498,12406,0,10,0,40,22498,82,22,0,0,0,0,0,0,0,0,236,42,12,0,0,696,178,88760,8884,0,0,0,0,0,52.42,56,7650,6098,1496,362,424,8488,4072,58,10,0,0,0
neg,2444,44,28,0,0,0,0,0,0,7092,82290,44534,426,0,0,74194,0,0,0,1110,1812,135854,127396,52212,4438,0,0,0,0,20,18,0,0,0,0,0,0,996,77102,56244,0,1164,72,106,458,69570,62972,0,0,0,0,43078,61216,24032,4602,700,206,398,98,12,0,189218,0,0,42,0,74194,1342,42810,9230,,,,51620,2443.06,189218,189218,188558,518,104,18556,188620,134342,1209600,1588,0,16,0,110833.92,0.0,22368.0,,,0,0,2276,68154,55904,7254,624,110,20,0,14,20,189218,1148,28,636,8414,2142,96902,22576,2486,10,0,44,22,86100,216,0,502,0,0,112144,198,176,0,0,0,0,0,0,0,0,690,30,16,24110,4888,902,178,224740,22474,4,12,0,0,0,,,24072,10216,1992,1030,2386,4768,9658,80148,62,10,0,0
neg,133790,,,,,0,0,0,0,7204,1140368,5781696,900216,6020,0,2994354,0,0,,0,0,6699256,6079512,1280718,592370,,0,0,0,,,0,0,0,0,0,45308,505996,2747878,4536322,0,4596,5230,5936,6868,2826916,4951782,34176,0,0,0,2182030,1485090,853776,729034,636772,664582,1051876,232340,4,0,7980800,,,,,2994354,80244,631936,642274,186240,183400,177440,118680,133790.63,7980800,7980800,,58289,,,707600,,1209600,,,,,7198188.48,0.0,634344.0,,,0,0,0,195430,4332388,3123536,152162,25282,6672,34,,,7980800,5508,1116,374732,269166,664640,6177656,337440,5246,0,0,,,,,,,,,,,,,,,,,,,,36606,,,,,,,,,,,,,,,,666036,1189474,879880,470176,1163634,1492656,1106802,461730,391496,13620,,
neg,40306,0,,0,0,0,0,0,0,3242,964032,1777972,236082,6782,0,1448760,0,0,0,0,0,2557256,2171862,589336,310824,0,0,0,0,0,0,0,0,0,0,0,34790,1986336,405424,561560,0,2526,534,1062,1564,19488,2962912,22,2,0,0,1084730,758034,265384,208590,188910,178570,183054,120826,12,0,3147492,68,86,234,96,1448760,41964,234330,351692,212280,250620,,119040,40306.03,3147492,3147492,3131240,17362,90432,67238,720300,2988110,1209600,0,,,,2444504.64,0.0,540464.64,0,564,0,0,0,214892,1613474,1054778,91998,10702,2178,88,,78,3147492,5448,616,44302,297664,178118,1271534,1158578,31742,108,0,,,,,,,,,,3194,124,0,0,0,0,0,0,0,0,24590,30476,6004,0,0,81788,12612,6200520,914836,0,2686,0,0,306090,1125.12,1480,560854,678522,362062,149160,340508,307612,244406,139910,192472,12604,0,0
neg,43826,178,156,0,0,0,0,0,0,20592,411724,1956338,725778,26078,598,1294886,0,0,0,0,0,2996148,2725004,433664,199034,0,0,0,0,136,74,0,4388,29450,34072,58050,61804,1073914,1145096,734334,0,2612,1450,2416,76058,1865930,1192598,44,0,0,0,1218192,772586,443154,217800,126930,89024,113778,159644,0,0,3430592,52,316,894,50,1294886,26852,231502,201258,125920,192380,,108080,43825.94,3430592,3430592,3393306,17181,6154,96408,1002280,3141108,1209600,81932,2,82,0,2662716.48,0.0,475319.04,0,0,0,0,0,75348,1071528,1434022,524486,31242,4404,78,44,54,3430592,5140,596,46312,207844,150994,2305138,414518,10404,162,0,382,248,2667118,321376,0,13370,0,8,2706708,1852,234,0,0,0,0,0,0,0,0,16672,22098,5342,0,0,99668,15220,57620,14294,0,0,0,0,4762690,1276.92,1564,499504,480790,487176,347030,727118,562334,22110,6542,8450,54,0,0
neg,39940,1150,1084,0,0,0,0,0,0,996,586922,2656838,1031432,101926,10328,1952660,6226,0,0,0,0,3580784,2867788,1069208,586006,0,0,0,0,728,276,0,0,0,0,0,305350,2859520,753604,469968,0,3954,1616,2508,396584,2239428,1729184,15168,0,0,0,2667884,734098,262798,155378,102564,82514,134580,248626,0,0,4651254,4224,1250,2866,78,1952660,59930,251422,811056,230860,248300,421720,156900,39939.59,4651254,4651254,4614998,18778,75922,92694,1010040,4388442,1209600,132666,0,278,0,2761316.16,0,1623057.6,0,0,0,0,0,110776,1533970,2147370,556218,36296,3696,116,278,298,4651254,8282,994,91866,606002,417638,2518758,712942,31602,358,0,1640,618,2598386,550890,0,428,0,64,2879324,5314,592,0,0,0,0,0,0,0,0,28430,20826,6574,0,0,54898,32240,564700,226646,3341398,8008,0,0,296330,2238.84,2364,1691378,780604,512388,303556,588178,504662,6434,856,386,0,0,0
neg,28846,488,450,0,0,0,0,0,0,420,46180,1378326,514432,38590,2010,877282,0,0,0,0,0,1853826,1678694,262430,146586,0,0,0,0,1812,318,0,0,0,0,0,12918,646304,1227978,92758,0,1968,544,758,194048,1545478,237158,4,0,0,0,620584,464530,243242,168134,110386,79946,116100,177036,0,0,2116462,222,498,514,14,877282,15272,131982,128722,163660,,,95940,28845.7,2116462,2116462,2104720,13741,17152,88870,903880,1979958,1209600,58526,2,42,0,1706085.12,0.0,271619.52,0,0,0,0,0,2796,482762,1170932,311118,10308,1966,76,758,862,2116462,2830,258,740,82680,122636,1235082,511770,23272,690,0,700,1742,999928,249514,0,56574,0,14,1715482,2490,300,0,0,0,0,0,0,0,0,9246,14278,6226,0,0,29850,4502,19474520,2218436,0,0,0,0,606390,534.74,646,282250,349184,280058,148600,401056,305798,113816,46376,52820,0,0,0
